rank,condition,family_id,house,history_id,task_id,model,session,label,total_decisions,autonomous_decisions,collisions,stopped,repeated_decisions,budget_exhausted,reached_ready,ready_at_stop,stopped_without_terminal,stopped_without_prior_anchor,reached_ready_but_no_valid_stop,stop_native_margin
152,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_B2_1211,continuation_run_004,unknown,500,394,229,False,265,True,False,False,False,False,False,
153,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,L3_Ours_1211,continuation_run_004,fail,144,38,0,True,0,False,False,False,True,False,False,1.072131797671318
154,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_B1_1209,continuation_run_004,fail,153,47,0,True,0,False,False,False,True,False,False,0.38035259768366814
155,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_B2_1209,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
156,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_Ours_1209,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
157,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_B1_1210,continuation_run_004,fail,167,61,0,True,0,False,False,False,True,False,False,1.2643772037699819
158,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_B2_1210,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
159,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_Ours_1210,continuation_run_004,unknown,500,394,234,False,224,True,False,False,False,False,False,
160,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_B1_1211,continuation_run_004,fail,152,46,0,True,0,False,False,False,True,False,False,0.45445647835731506
161,8,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_A,S1_B2_1211,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
162,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_B1_1209,continuation_run_004,fail,148,42,0,True,0,False,False,False,True,True,False,0.9451509714126587
163,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_B2_1209,continuation_run_004,fail,202,96,0,True,0,False,False,False,True,True,False,1.2961314022541046
164,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_Ours_1209,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
165,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_B1_1210,continuation_run_004,fail,174,68,0,True,0,False,False,False,True,True,False,0.4317701756954193
166,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_B2_1210,continuation_run_004,unknown,182,76,3,True,0,False,False,False,True,True,False,0.12157970666885376
167,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_Ours_1210,continuation_run_004,fail,147,41,0,True,0,False,False,False,True,True,False,0.08311933279037476
168,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_B1_1211,continuation_run_004,unknown,171,65,1,True,0,False,False,False,True,True,False,0.11005993187427521
169,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_B2_1211,continuation_run_004,fail,500,394,0,False,266,True,False,False,False,False,False,
170,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,L3_Ours_1211,continuation_run_004,fail,144,38,0,True,0,False,False,False,True,True,False,0.7738599739968777
171,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_B1_1209,continuation_run_004,fail,152,46,0,True,0,False,False,False,True,True,False,0.3004632443189621
172,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_B2_1209,continuation_run_004,fail,178,72,0,True,0,False,False,False,True,True,False,0.36480873823165894
173,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_Ours_1209,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
174,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_B1_1210,continuation_run_004,fail,142,36,0,True,0,False,False,False,True,True,False,0.43219976127147675
175,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_B2_1210,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
176,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_Ours_1210,continuation_run_004,fail,500,394,0,False,281,True,False,False,False,False,False,
177,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_B1_1211,continuation_run_004,fail,153,47,0,True,0,False,False,False,True,True,False,0.5028851628303528
178,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_B2_1211,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
179,9,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_A,task_B,S1_Ours_1211,continuation_run_004,unknown,500,394,236,False,310,True,False,False,False,False,False,
180,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_B2_1209,continuation_run_004,fail,202,96,0,True,0,False,False,False,True,True,False,1.0380620956420898
181,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_Ours_1209,continuation_run_004,fail,143,37,0,True,0,False,False,False,True,True,False,0.2876766473054886
182,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_B1_1210,continuation_run_004,fail,148,42,0,True,0,False,False,False,True,True,False,0.25208739191293716
183,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_B2_1210,continuation_run_004,fail,164,58,0,True,0,False,False,False,True,True,False,0.016001760959625244
184,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_Ours_1210,continuation_run_004,fail,144,38,0,True,0,False,False,False,True,True,False,1.072131797671318
185,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_B1_1211,continuation_run_004,fail,164,58,0,True,0,False,False,False,True,True,False,1.6537327766418457
186,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_B2_1211,continuation_run_004,unknown,500,394,243,False,265,True,False,False,False,False,False,
187,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_Ours_1211,continuation_run_004,fail,154,48,0,True,0,False,False,False,True,True,False,0.015528857707977295
188,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_B1_1209,continuation_run_004,fail,153,47,0,True,0,False,False,False,True,True,False,0.38035259768366814
189,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_B2_1209,continuation_run_004,fail,500,394,0,False,296,True,False,False,False,False,False,
190,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_Ours_1209,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
191,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_B1_1210,continuation_run_004,fail,143,37,0,True,0,False,False,False,True,True,False,0.18267765641212463
192,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_B2_1210,continuation_run_004,unknown,500,394,386,False,383,True,False,False,False,False,False,
193,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_Ours_1210,continuation_run_004,fail,177,71,0,True,0,False,False,False,True,True,False,0.8745688498020172
194,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_B1_1211,continuation_run_004,fail,154,48,0,True,0,False,False,False,True,True,False,0.11289281770586967
195,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_B2_1211,continuation_run_004,fail,146,40,0,True,0,False,False,False,True,True,False,0.8908978700637817
196,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,S1_Ours_1211,continuation_run_004,unknown,500,394,240,False,329,True,False,False,False,False,False,
197,10,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_A,L3_B1_1209,continuation_run_004,fail,148,42,0,True,0,False,False,False,True,True,False,1.0808945298194885
198,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_Ours_1209,continuation_run_004,unknown,500,394,386,False,383,True,True,False,False,False,True,
199,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_B1_1210,continuation_run_004,fail,174,68,0,True,0,False,True,False,True,False,True,0.4317701756954193
200,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_B2_1210,continuation_run_004,unknown,205,99,2,True,0,False,True,False,True,False,True,0.07232439517974854
201,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_Ours_1210,continuation_run_004,unknown,500,394,298,False,294,True,True,False,False,False,True,
202,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_B1_1211,continuation_run_004,fail,500,394,0,False,197,True,True,False,False,False,True,
203,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_B2_1211,continuation_run_004,fail,201,95,0,True,0,False,True,False,True,False,True,0.8172239661216736
204,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_Ours_1211,continuation_run_004,fail,181,75,0,True,0,False,True,False,True,False,True,0.23891235142946243
205,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_B1_1209,continuation_run_004,fail,152,46,0,True,0,False,True,False,True,False,True,0.3004632443189621
206,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_B2_1209,continuation_run_004,fail,500,394,0,False,272,True,True,False,False,False,True,
207,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_Ours_1209,continuation_run_004,unknown,500,394,386,False,383,True,True,False,False,False,True,
208,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_B1_1210,continuation_run_004,fail,196,90,0,True,0,False,True,False,True,False,True,0.2226697877049446
209,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_B2_1210,continuation_run_004,unknown,500,394,386,False,383,True,True,False,False,False,True,
210,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_Ours_1210,continuation_run_004,fail,500,394,0,False,240,True,True,False,False,False,True,
211,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_B1_1211,continuation_run_004,fail,164,58,0,True,0,False,True,False,True,False,True,0.3288547396659851
212,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_B2_1211,continuation_run_004,fail,197,91,0,True,0,False,True,False,True,False,True,0.4450584053993225
213,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,S1_Ours_1211,continuation_run_004,unknown,500,394,233,False,310,True,True,False,False,False,True,
214,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_B1_1209,continuation_run_004,fail,148,42,0,True,0,False,True,False,True,False,True,0.9451509714126587
215,11,V15_NEW_0705ac616e1f9e215208,wc2JMjhGNzB,H_B,task_B,L3_B2_1209,continuation_run_004,fail,246,140,0,True,0,False,True,False,True,False,True,0.8357296586036682
